id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
1,100 nm,,"5, 10, 50, 100, 200 μg/ml",Aluminum/Alumina,,Toxic,100.0,,Classified Data,Aluminum/Alumina,Toxic,Al (n-Al),inorganic,100 nm,,spherical,,,,,,,37°C,"5, 10, 50, 100, 200 μg/ml",,<12% apoptosis (at 200 μg/ml),,,,,,,,24 h,Human alveolar epithelial cells (A549),10.1080/08958370701493282,,DNA Fragmentation: ~7-8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,< 50 nm,,"10, 100, 1000 mg/plate",Aluminum/Alumina,,Non-toxic,50.0,,Classified Data,Aluminum/Alumina,Non-toxic,Al2O3,inorganic,< 50 nm,,spherical,,,,,,,37°C,"10, 100, 1000 mg/plate",,,,,,,,,,,S. typhimurium & E. coli,10.1002/jat.2833,,Ames test (Negative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13.6 ± 8.4 nm,,"8.82, 36.0, 86.6 µg/ml",Aluminum/Alumina,"5.5% C, 46.1% O, 48.4% Al",Toxic,13.6,,Classified Data,Aluminum/Alumina,Toxic,Al2O3,inorganic,13.6 ± 8.4 nm,,Polydisperse,,,76.3 m²/g,"5.5% C, 46.1% O, 48.4% Al",,,19–22 °C,,"8.82, 36.0, 86.6 µg/ml",,,,,,,,,60 min,Female BALB/cJ mice,10.1080/17435390.2016.1202350,,Comet assay (% DNA in tail): 11.4 ± 4.8%; BALF Protein: 213 ± 51 mg/mL; Sensory irritation (TB increase): 0%; Neutrophils (BAL): <1 x 10^4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,7.75,"1, 5, 10, 15, 20, 25, 50, 100, 150, 200",Aluminum/Alumina,,Non-toxic,12.0,7.75,Classified Data,Aluminum/Alumina,Non-toxic,Al2​O3​,inorganic,12,,Spherical,,7.75,,,,≈7.4,,"1, 5, 10, 15, 20, 25, 50, 100, 150, 200",,,,,,,,,,15 and 24 h,BEAS-2B cells,10.1002/smll.201002366,,Nontoxic (SSMD < 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20–80,12.41 (in Millipore water),"10, 25, 50, and 100 μg/mL",Aluminum/Alumina,,Toxic,20.0,12.41,Classified Data,Aluminum/Alumina,Toxic,Al2​O3​ nanoparticles,inorganic,20–80,303–512 (in Millipore water),,,12.41 (in Millipore water),40,,,,,"10, 25, 50, and 100 μg/mL",,Dose-dependent decline in cell viability observed,,,Membrane damage induced,Oxidative stress induced,,,,"6, 12, and 24 h (for morphological changes)",CHSE-214 (Chinook salmon cells),10.1007/s10311-020-01033-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39.4 ± 3.9,,"10, 25, 50, 75, and 100 μg/mL",Aluminum/Alumina,,Toxic,39.4,,Classified Data,Aluminum/Alumina,Toxic,Al2​O3​ nanoparticles (Spherical),inorganic,39.4 ± 3.9,90.2 ± 2.4 (in water),spherical,,,,,,,,"10, 25, 50, 75, and 100 μg/mL",,Decrease in cellular viability observed,,,Increase in cell membrane damage,Oxidative stress evidenced by induction of ROS,,,,24 h,Human lymphocytes,10.1007/s10311-020-01033-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30–50 nm,,"0.1, 1, 10 μg/ml",Aluminum/Alumina,Purity >99.5%; sterile and endotoxin-free,Non-toxic,30.0,,Classified Data,Aluminum/Alumina,Non-toxic,Aluminium Nanoparticles (AlNP),inorganic,30–50 nm,,Aggregates (observed via TEM),,,,Purity >99.5%; sterile and endotoxin-free,,,37°C,"0.1, 1, 10 μg/ml",,~100% (Innocuous at all concentrations),,,,,,,,24 h,C57BL/6 Mice; J774.2 murine cell line,10.2217/nnm.16.39,Measured via MTT assay,Nitrite Production: ~15 μM (No inhibition of LPS-mediated NO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13 nm (TEM),,"5, 25, and 50 mg/ml",Aluminum/Alumina,99.8 % purity; dispersed in distilled water via 30-minute ultrasonication,Toxic,13.0,,Classified Data,Aluminum/Alumina,Toxic,Aluminium oxide (Al2​O3​) Nanoparticles,inorganic,13 nm (TEM),,Confirmed by TEM; aggregates formed in cytoplasm,,,85–115 m2/g (BET),99.8 % purity; dispersed in distilled water via 30-minute ultrasonication,,,23±2 °C,,"5, 25, and 50 mg/ml",,"Aluminium ion loss in NP solutions: 0.5 mg/ml (at 5 mg/ml dose), 1.5 mg/ml (at 25 mg/ml dose), 3.2 mg/ml (at 50 mg/ml dose)",,,"Peroxidase activity (oxidative stress marker) increase at 96 h: 1.64-fold (5 mg/ml), 2.46-fold (25 mg/ml), 3.78-fold (50 mg/ml)",,,,"24, 48, 72, and 96 h",Triticum aestivum (Wheat),10.1007/s11270-015-2566-4,Total protein content: values ranged from approximately 0.32 mg/ml to 0.49 mg/ml depending on dose and time interval,"Root elongation inhibition (at 96 h): 40.2 % (5 mg/ml), 50.6 % (25 mg/ml), and 54.5 % (50 mg/ml); DNA fragmentation visible from 24 h; Aluminium ion bioaccumulation in roots: < 0.01 mg/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,~ 90 nm (Average),,10 mg/L (in water),Aluminum/Alumina,,Non-toxic,90.0,,Classified Data,Aluminum/Alumina,Non-toxic,Aluminium oxide nanoparticles (Al-NPs / Al₂O₃),inorganic,~ 90 nm (Average),,Spherical,,,,,,7.63 ± 0.04,24.6°C–26.6°C,,10 mg/L (in water),86.67 ± 6.66% (Survival rate),,,,"GSH content (Liver): 130.1 μM/g tissue; GSH content (Gills): 129.2 μM/g tissue; MDA levels (Liver): 48,180 μM/g tissue; MDA levels (Gills): 34,266.6 μM/g tissue;",,,,28 days,Nile Tilapia (Oreochromis niloticus),https://doi.org/10.1007/s10499-025-02128-z,,TNF-β expression (Gills): 7.28-fold; TNF-β expression (Liver): 7.61-fold; IL-1β expression (Gills): 9.54-fold; IL-1β expression (Liver): 8.08-fold; Histopathological lesion score (Gills): 3 ± 1; Histopathological lesion score (Liver): 3 ± 0; Weight gain: 3.18 ± 0.29 g/fish; Feed conversion ratio (FCR): 3.48 ± 0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,30 nm,,10–250μg/ml. Range up to 300μg/ml.,Aluminum/Alumina,NA (Materials are metal/metal oxide nanoparticles),Toxic,30.0,,Classified Data,Aluminum/Alumina,Toxic,Aluminum (Al),inorganic,30 nm,,"At higher doses (100–250μg/ml), exposed cells became abnormal in size, displaying cellular shrinkage, and an acquisition of an irregular shape.",,,,NA (Materials are metal/metal oxide nanoparticles),,NA (Ham’s Nutrient Mixture F-12 media used),37 °C,10–250μg/ml. Range up to 300μg/ml.,,"MTT EC50: >250μg/ml. No measurable effect at lower doses (10–50μg/ml), but significant effect at higher levels (100–250μg/ml).",,,LDH EC50: >250μg/ml. Displayed LDH leakage only at higher doses (100–250μg/ml).,,,,,24 h.,BRL 3A immortalized rat liver cells.,10.1016/j.tiv.2005.06.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
